,n,m,k,BDD_blame_modeltime_mean,BDD_blame_modeltime_var,BDD_blame_overalltime_mean,BDD_blame_overalltime_var,BDD_blame_methodtimes_mean,BDD_blame_methodtimes_var,BDD_mod_blame_modeltime_mean,BDD_mod_blame_modeltime_var,BDD_mod_blame_overalltime_mean,BDD_mod_blame_overalltime_var,BDD_mod_blame_methodtimes_mean,BDD_mod_blame_methodtimes_var,BDD_influence_modeltime_mean,BDD_influence_modeltime_var,BDD_influence_overalltime_mean,BDD_influence_overalltime_var,BDD_influence_methodtimes_mean,BDD_influence_methodtimes_var,BDD_dominating_cgm_modeltime_mean,BDD_dominating_cgm_modeltime_var,BDD_dominating_cgm_overalltime_mean,BDD_dominating_cgm_overalltime_var,BDD_dominating_cgm_methodtimes_mean,BDD_dominating_cgm_methodtimes_var,BDD_banzhaf_modeltime_mean,BDD_banzhaf_modeltime_var,BDD_banzhaf_overalltime_mean,BDD_banzhaf_overalltime_var,BDD_banzhaf_methodtimes_mean,BDD_banzhaf_methodtimes_var,GPMC_blame_modeltime_mean,GPMC_blame_modeltime_var,GPMC_blame_overalltime_mean,GPMC_blame_overalltime_var,GPMC_blame_methodtimes_mean,GPMC_blame_methodtimes_var,GPMC_mod_blame_modeltime_mean,GPMC_mod_blame_modeltime_var,GPMC_mod_blame_overalltime_mean,GPMC_mod_blame_overalltime_var,GPMC_mod_blame_methodtimes_mean,GPMC_mod_blame_methodtimes_var,GPMC_influence_modeltime_mean,GPMC_influence_modeltime_var,GPMC_influence_overalltime_mean,GPMC_influence_overalltime_var,GPMC_influence_methodtimes_mean,GPMC_influence_methodtimes_var,GPMC_banzhaf_modeltime_mean,GPMC_banzhaf_modeltime_var,GPMC_banzhaf_overalltime_mean,GPMC_banzhaf_overalltime_var,GPMC_banzhaf_methodtimes_mean,GPMC_banzhaf_methodtimes_var
0,10,30,3,147.97673225402832,349.93987439065677,151.8606185913086,354.234175269994,3.8838863372802734,0.042730957829917315,143.52679252624512,427.28184819225135,145.1223373413086,425.10364922691224,1.5955448150634766,0.023158927433541976,141.95842742919922,439.4992911193185,142.012357711792,439.53202805369074,0.05393028259277344,1.8053469830192626e-06,143.45192909240723,635.8817425507368,143.77365112304688,644.3926774090869,0.32172203063964844,0.034764539122988936,151.40910148620605,486.3783467135363,151.4636516571045,486.4008084859961,0.0545501708984375,1.2173586583230644e-05,124.1063117980957,42.837218838940316,443.61181259155273,701.3747564860751,319.50550079345703,419.88902395132754,141.52936935424805,284.8130013580885,281.83131217956543,316.5297190525962,140.30194282531738,221.13928812359518,143.10259819030762,314.4569590949686,194.87662315368652,255.24693022362044,51.774024963378906,185.955426354667,137.29591369628906,396.6833097683775,195.97539901733398,277.9821006151906,58.67948532104492,273.56334509477165
1,13,39,3,224.35317039489746,380.95428248198004,230.5647850036621,398.7321869863081,6.211614608764648,0.7683558033022564,226.2887477874756,429.3787609503852,228.86667251586914,439.4301327829453,2.5779247283935547,0.16256725757557433,214.80693817138672,599.5804825170126,214.86577987670898,599.608674715455,0.058841705322265625,3.534296411089599e-05,220.65105438232422,318.6014138827886,221.2973117828369,314.83909245707764,0.6462574005126953,0.1024070934363408,218.09864044189453,689.7781699308325,218.1534767150879,689.7825066971564,0.054836273193359375,1.114131009671837e-06,225.57668685913086,171.07001336626126,914.8480892181396,5046.2086373499915,689.2714023590088,4868.658464224609,215.46874046325684,272.102639669356,645.5637454986572,2215.416171807192,430.0950050354004,2830.676346125074,228.49469184875488,87.23802330678154,296.05512619018555,232.94893556794705,67.56043434143066,264.2191899894897,223.8823413848877,30.491144630104827,295.4510688781738,227.1485726987521,71.56872749328613,261.99908932085236
2,16,48,3,327.0514965057373,190.20688572709332,338.3020877838135,183.5759248569957,11.250591278076172,0.9859513193077873,332.853364944458,13.595724144579435,340.8430576324463,13.771407898275356,7.989692687988281,1.0960869394693873,330.47962188720703,36.45583892648574,330.54165840148926,36.468885023168696,0.06203651428222656,1.8962964531965554e-06,331.0910224914551,176.57638460605085,332.0625305175781,177.88267965443083,0.9715080261230469,0.1524665185570484,334.0714454650879,6.494994213426253,334.1348171234131,6.512831419058784,0.06337165832519531,0.00011542397260200232,303.05705070495605,307.286845136332,4309.020900726318,117867.12128902308,4005.9638500213623,120138.56016284079,301.39265060424805,28.230584498487588,4231.400632858276,85864.57838122442,3930.0079822540283,85233.35676289661,315.7844066619873,362.0844025908809,408.27250480651855,756.7300569235158,92.48809814453125,504.73675654302497,318.2525634765625,459.2109131408506,415.7273769378662,888.1471379027062,97.47481346130371,498.1186332543075
3,19,57,3,461.50479316711426,461.90496431336214,498.70920181274414,2182.188738424884,37.20440864562988,1023.1270233043688,454.1463851928711,332.80871655279043,469.27433013916016,967.9103422604385,15.127944946289062,211.03022496390622,465.21153450012207,639.3714466776146,465.27323722839355,639.3353710018346,0.061702728271484375,5.2159521146677434e-06,458.4125518798828,414.52813356045226,459.6264362335205,408.03470194532565,1.2138843536376953,0.3936744769816869,469.5940971374512,565.7170141967072,469.6551322937012,565.6719538046673,0.06103515625,8.526512829121202e-06,,,,,,,,,,,,,437.02783584594727,589.5225497306456,562.993049621582,914.5182437123367,125.96521377563477,771.2780294377808,394.77782249450684,13.588258284471522,541.5103912353516,18.122604578820756,146.73256874084473,6.009503226778179
4,22,66,3,619.3993091583252,488.68370363379654,965.838623046875,56498.00329102618,346.4393138885498,48778.927866428596,637.6858711242676,72.83847934559162,949.0214347839355,48215.69521842776,311.33556365966797,49353.25380249651,637.5107288360596,49.81913672054361,637.6091480255127,49.68684585492156,0.098419189453125,0.0006887694325996563,637.9305839538574,45.175978752922674,645.2109336853027,20.012338140986685,7.2803497314453125,28.688706470347825,634.3031883239746,29.90218723880389,634.3844413757324,29.851051508558157,0.0812530517578125,0.0002880688043660484,,,,,,,,,,,,,611.2907886505127,755.3590729366988,748.4673976898193,2016.4808065692341,137.17660903930664,1247.289585571707,602.8800964355469,575.6069242715967,726.7894268035889,1967.7965717482948,123.90933036804199,921.3547569424918
5,25,75,3,867.3930644989014,611.1069620010312,2704.3951511383057,5433455.795384875,1837.0020866394043,5376424.803603286,865.4252052307129,563.947796777029,3022.623920440674,3127780.8644586587,2157.198715209961,3189823.32198892,847.5615501403809,663.1859884100777,847.7118492126465,661.3683955356464,0.150299072265625,0.008558631634514313,868.5858249664307,895.206347149724,880.684757232666,1594.4119477035201,12.098932266235352,170.64738430235593,884.6382141113281,1445.458103139572,884.7390174865723,1444.4028540447107,0.10080337524414062,0.0017408046915079467,,,,,,,,,,,,,855.6493282318115,1124.0305212731982,999.4235515594482,2576.9480374810882,143.77422332763672,2149.9194210809947,891.278600692749,1094.9659329207861,1010.646390914917,1311.439902597158,119.36779022216797,20.26179798576777
6,28,84,3,1206.5282821655273,11165.029561962001,40835.27231216431,980362643.3071585,39628.74402999878,974177121.2812274,1162.7867221832275,1765.290321077373,47310.039043426514,601510719.4520093,46147.252321243286,600939245.4032743,1189.498233795166,543.2445498036031,1190.0827407836914,535.271520070637,0.5845069885253906,0.04634549895854434,1125.5737781524658,6347.147728833988,1190.321969985962,5540.140634852833,64.7481918334961,3360.2087377539647,1152.5860786437988,4700.542983132436,1152.7455806732178,4699.213378980858,0.1595020294189453,0.0020219658836140297,,,,,,,,,,,,,1162.7865314483643,4931.213598169961,1338.9884948730469,8643.237836290607,176.20196342468262,5706.917122224695,1150.9818077087402,7454.266644494965,1326.5597820281982,9311.527264253527,175.577974319458,4962.009484429473
